Skill,Pot,Rank,Player,Age,Team,Transfer_Value
75.8,77.9,414,Sam Beukema,26,Bologna,25.3
75.8,76.5,415,Joe Gomez,27,Liverpool,25.3
77.7,77.7,416,Mateo Kovačić,31,Man City,25.3
54.5,67.8,417,Niccolò Pisilli,20,Roma,25.2
72.2,75.7,418,Facundo Medina,25,Lens,25.2
64.6,65.4,419,Gerson,27,Flamengo,25.2
72.6,73.4,420,David Raum,27,RB Leipzig,25.2
68.7,73.4,421,Igor Paixão,24,Feyenoord,25.1
67.9,81.0,422,Wilson Odobert,20,Tottenham,25.1
65.2,73.1,423,Jacob Greaves,24,Ipswich Town,25.1
75.9,78.3,424,Federico Gatti,26,Juventus,25.0
72.1,72.9,425,Igor Júlio,27,Brighton,25.0
51.1,88.2,426,Finn Jeltsch,18,VfB Stuttgart,25.0
69.4,71.0,427,Pepê,28,Porto,25.0
67.2,70.8,428,Wout Faes,27,Leicester,25.0
68.7,68.8,429,Miguel Almirón,31,Atlanta United,25.0
67.7,80.4,430,Michael Kayode,20,Brentford,25.0
69.8,73.7,431,Jakub Kiwior,25,Arsenal,25.0
68.6,72.2,432,Noa Lang,25,PSV,25.0
72.4,85.1,433,Aaron Hickey,22,Brentford,24.9
72.6,72.6,434,Aleksandr Golovin,28,Monaco,24.9
75.8,75.8,435,Robert Sánchez,27,Chelsea,24.9
67.8,68.8,436,Kiernan Dewsbury-Hall,26,Chelsea,24.9
76.9,80.2,437,Álex Remiro,30,Real Sociedad,24.9
69.6,80.5,438,Julio Enciso,21,Ipswich Town,24.9
70.3,72.5,439,Lovro Majer,27,VfL Wolfsburg,24.8
70.1,72.8,440,Edward Nketiah,25,C. Palace,24.8
65.9,75.6,441,Mamadou Sarr,19,Strasbourg,24.7
66.8,69.0,442,Jerdy Schouten,28,PSV,24.7
80.7,83.8,443,Tyrick Mitchell,25,C. Palace,24.6
71.0,78.7,444,Vanderson,23,Monaco,24.6
78.6,79.0,445,Konrad Laimer,27,Bayern,24.6
